sheet_column_header,match_text,item_name,zoho_item_id,active,default_rate
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Belly (half rolls size) 8 lb.- 11 lb $120 - $160,Roasted Lechon Belly Half Roll,5729797000000179019,true,120
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Belly (full rolls size) 14 - 22 lbs. $200 -- $320,Roasted Lechon Belly Full Roll,5729797000000447029,true,290
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Cochinillo 12 -15 lbs. $450,Roasted Cochinillo,5729797000000365198,true,450
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon De Leche 30-39 lbs. $450-480,Roasted Lechon De Leche,5729797000000225005,true,480
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Medium 50-59 lbs. $500 - $550,Roasted Lechon Medium,5729797000000164031,true,550
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Large 60 -69 Lbs. $550 - $600,Roasted Lechon Large,5729797000000379011,true,600
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted lechon Extra-large 70 -80 Lbs. $600 - $650,Roasted Lechon Extra-Large,5729797000000118035,true,550
new-form (2026-06-29),Traditional Whole Roasted Lechon – Medium (50–59 lbs) $500-550,Roasted Lechon Medium,5729797000000164031,true,550
new-form (2026-06-29),Traditional Whole Roasted Lechon 60-69 Lbs. Large good for 60-70 guests+ $550-,Roasted Lechon Large,5729797000000379011,true,600
new-form (2026-06-29),Gourmet Whole Roasted Suckling Pig 30-39 Lbs $480-500,Roasted Lechon De Leche,5729797000000225005,true,480
Column 11,Shanghai Rolls- Full tray $180 in,Shanghai Rolls Full Tray,5729797000000457030,true,180
Column 12,Pansit Canton Bihon $190 full tray,Pansit Canton Bihon Full Tray,5729797000000240019,true,170
Column 13,Steamed Rice Full tray $90,Steamed Rice Full Tray,5729797000000173059,true,80
Column 14,Beef Kare Kare $250,Beef Kare Kara,5729797000000388023,true,250
Column 15,Beef Bistek Tagalog - Full tray $270,Beef Bistek Tagalog Full Tray,5729797000000399019,true,265
Chop Suey Full tray  $250,Option 1,Chop Suey Full Tray,5729797000000410030,true,250
Column 17,Pork Siomai Full tray $250,Pork Siomai Full Tray,5729797000000410019,true,250
Column 18,Pork Menudo $220,Pork Menudo,5729797000000325030,true,220
